geo_code,year,VA_CP,VAadj,GDP,GDPadj,I_GFCF,I_NatAcc,I_TangNRes,I_Mach,I_OCon,I_Rstruc,I_Cult,I_NonNatAcc,I_OrgCap,I_Design,I_Brand,I_NFP,I_Intan,H_EMP,spec_capital,mixed_capital,natacct_capital,total_intan,spec_share,natacct_share,intan_gdp_share,spec_gdp_share,natacct_gdp_share,orgcap_share,design_share,brand_share
US,2010,14042100.0,15369584.0802094,15048969.94,16376454.0202094,2745465.0,852985.0,1507150.0,931130.0,576020.0,385330.0,,1327484.08020936,785787.839385897,135508.907108624,256773.857167317,29082.4143611784,2180469.08020936,241145944.105508,1178070.603661838,29082.4143611784,852985.0,2180469.08020936,0.5402831043807896,0.3911933481386949,0.14489158320488746,0.07828247437258407,0.056680623551036216,0.36037559372795547,0.062146676758018035,0.11776083389481616
US,2011,14555400.0,15974057.577814,15599731.49,17018389.067814,2912700.0,932184.0,1594070.0,1031624.0,562446.0,386446.0,,1418657.57781399,842950.517993012,134344.98401783,275648.090612652,32178.5243296438,2350841.57781399,244934974.245537,1252943.592623494,32178.5243296438,932184.0,2350841.57781399,0.5329766175858547,0.3965320372063621,0.15069756677036175,0.0803182794156859,0.059756413153493323,0.3585739362228135,0.0571476127041939,0.11725506865884718
US,2012,15176000.0,16670152.6097095,16253970.02,17748122.6297095,3145613.0,994572.0,1713136.0,1122888.0,590248.0,437905.0,,1494152.60970951,895707.430138235,140525.187019254,281648.441873472,30654.5185490179,2488724.60970951,249357633.479338,1317881.059030961,30654.5185490179,994572.0,2488724.60970951,0.5295407349971065,0.3996311990968293,0.15311487634388476,0.08108056415813182,0.06118948163286941,0.3599062052280602,0.05646473959835051,0.11316979017069578
US,2013,15754300.0,17288555.9352862,16843195.54,18377451.4752862,3315504.0,1036045.0,1762839.0,1168901.0,593938.0,516620.0,,1534255.93528619,924313.796191566,139914.239413462,280632.728196527,39574.7167821459,2570300.93528618,252655677.915758,1344860.7638015551,39574.7167821459,1036045.0,2570300.93528618,0.5232308580441835,0.40308315099478637,0.15260173933040858,0.07984593900888448,0.06151118993658611,0.35961306456461756,0.054434964206976716,0.10918282927258906
US,2014,16428300.0,18061808.4835913,17550687.43,19184195.9135913,3571370.0,1112088.0,1890375.0,1236908.0,653467.0,568907.0,,1633508.48359131,983408.766383513,151257.220145414,305061.32981874,39531.2449107089,2745596.48359131,257289976.999581,1439727.316347667,39531.2449107089,1112088.0,2745596.48359131,0.5243768794693628,0.40504422505136684,0.15643811642945488,0.08203253132334241,0.06336435563766404,0.35817672853994525,0.05509084129783183,0.11110930963158579
US,2015,17078900.0,18744834.0402024,18206023.46,19871957.5002024,3735521.0,1104490.0,1985504.0,1261137.0,724367.0,645527.0,,1665934.04020237,1009188.08427688,161131.309702508,316311.872705729,37188.0227862316,2770424.04020237,261835348.512009,1486631.266685117,37188.0227862316,1104490.0,2770424.04020237,0.5366078423779934,0.3986718220649431,0.15217073878264517,0.08165601181122047,0.06066618569544565,0.3642720643599246,0.0581612444031268,0.11417453361494202
US,2016,17557500.0,19298606.6758814,18695105.82,20436212.4958814,3837942.0,1116807.0,2006285.0,1234272.0,772013.0,714850.0,,1741106.67588136,1042794.58199054,174782.672190847,335274.051783673,42788.441303026,2857913.67588136,265228221.430517,1552851.30596506,42788.441303026,1116807.0,2857913.67588136,0.5433513681921032,0.3907770236116683,0.15286961750299202,0.0830619158252542,0.05973793412847342,0.36487966406786226,0.06115743581266333,0.11731426831157764
US,2017,18308000.0,20125544.9416028,19477336.68,21294881.6216028,4069977.0,1221152.0,2070215.0,1285142.0,785073.0,778610.0,,1817544.94160282,1091683.65203289,178430.752254088,350392.568556298,46779.2533686356,3038696.94160282,269233471.187374,1620506.9728432759,46779.2533686356,1221152.0,3038696.94160282,0.5332900924264293,0.4018669921574606,0.15601193281846684,0.08319961807238606,0.06269604618242909,0.35926045703559367,0.058719495784917336,0.11531013960591824
US,2018,19262300.0,21168704.5473538,20533057.58,22439462.1273538,4345399.0,1338701.0,2187963.0,1358944.0,829019.0,818735.0,,1906404.54735383,1126197.02517142,189572.960917273,376450.165977448,51653.3989025444,3245105.54735383,274267166.926709,1692220.1520661411,51653.3989025444,1338701.0,3245105.54735383,0.5214684475967307,0.4125292630594473,0.15804297702426404,0.08241442588240876,0.0651973528435408,0.3470448060124761,0.05841811865621976,0.1160055229280349
US,2019,20061400.0,22084924.2300686,21380976.23,23404500.4600686,4532567.0,1428785.0,2269306.0,1379275.0,890031.0,834476.0,,2023524.23006856,1195693.29738564,206143.690473582,384990.679974358,63397.6230517755,3452309.23006856,276234264.111924,1786827.6678335802,63397.6230517755,1428785.0,3452309.23006856,0.517574628677772,0.4138635634246546,0.1614663985840164,0.08357091129105942,0.06682505909132662,0.34634594345475084,0.05971182670374176,0.1115168585192794
US,2020,20459200.0,22490234.5515465,21060474.06,23091508.6115465,4534559.0,1464750.0,2147024.0,1259632.0,887392.0,922785.0,,2031034.55154654,1200948.85158741,205404.544522329,395767.567659532,68419.34219614,3495784.55154654,259667486.601368,1802120.963769271,68419.34219614,1464750.0,3495784.55154654,0.5155125944394972,0.41900465500712636,0.16598793273063392,0.08556886984761782,0.06954971648914536,0.34354201006355173,0.0587577814060245,0.11321280296992098
US,2021,22405200.0,24639731.48728,23315081.15,25549612.63728,4983483.0,1615763.0,2226417.0,1350782.0,875635.0,1141303.0,,2234531.48728001,1294186.57298599,218559.323461505,439610.314059351,78897.0685384958,3850294.48728001,268936661.768793,1952356.2105068462,78897.0685384958,1615763.0,3850294.48728001,0.5070667235861387,0.4196466024450599,0.1651418008159071,0.08373791186683673,0.06930119563405424,0.3361266462244687,0.056764313530704345,0.11417576383096555
US,2022,24605608.9875117,27048130.8371484,,,5708454.25,1742399.0,2637606.75,1489249.5,1148357.25,1178801.75,,2442521.84963666,1397343.26219881,243193.372792998,494292.044429985,85493.8107542611,4184920.84963666,278097171.673028,2134828.679421793,85493.8107542611,1742399.0,4184920.84963666,0.5101240276998648,0.4163517214790997,,,,0.33389956761550915,0.0581118213535896,0.11811263873076597
US,2023,26227083.4092694,28830785.6852938,,,5971328.5,1871855.75,2946285.5,1609941.25,1336344.25,1111491.25,,2603702.27602447,1476860.47362275,260163.530559541,532847.58649913,96968.5348387045,4475558.02602447,280653377.697662,2269871.590681421,96968.5348387045,1871855.75,4475558.02602447,0.5071706315687505,0.41823963383237023,,,,0.32998353837333877,0.058129853092450674,0.1190572401029611
US,2024,27611374.8450211,30348652.3171735,,,6345748.75,1985792.25,3121467.25,1696298.0,1425169.25,1186080.0,,2737277.47215241,1545141.40313594,279416.369815633,565073.5433079,98632.4977065388,4723069.72215241,281280232.92671,2389631.3162594726,98632.4977065388,1985792.25,4723069.72215241,0.5059487699390691,0.42044525421382717,,,,0.32714770139615557,0.05915990791012431,0.11964116063278929
